ID компонента;Название компонента;Единица;Категория;МДФ Мыло 3,4,5;МДФ 345 Premium;МДФ 345 Каунтри;МДФ 345 Лондон;Краска МАТ;Краска ГЛЯНЕЦ;Краска МАТ (ФР);Краска ГЛЯНЕЦ (ФР);AGT (1,23);Етерно (ПЭТ);Етерно ETL;Етерно ETS;Етерно ETM;УФ (ПФЛ)
1;Нижний модуль;п.м.;Корпуса;20000;25000;0;0;0;0;0;0;0;0;0;0;0;0
2;Верхний модуль 720 мм;п.м.;Корпуса;15000;18000;0;0;0;0;0;0;0;0;0;0;0;0
3;Пенал (высокий шкаф) 600?2550 мм;шт.;Корпуса;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Второй ярус 450 мм (верхний шкаф);шт.;Корпуса;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;Нижний угловой модуль 90?;шт.;Углы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Верхний угловой модуль 90?;шт.;Углы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Верхние шкафы 920 мм;п.м.;Корпуса;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Ящик 500 мм (шариковые направляющие);шт.;Фурнитура;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;Ящик 500 мм (скрытые направляющие);шт.;Фурнитура;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Ящик 500 мм (Blum Tandem);шт.;Фурнитура;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;Внутренний ящик 750 мм (с поводком);шт.;Фурнитура;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;Профиль Gola L;шт.;Ручки;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Профиль Gola C;шт.;Ручки;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;Профиль Gola (для верхних шкафов);шт.;Ручки;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;Стеновая панель 1 м (Скиф);п.м.;Декор;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;Подъёмник HF складной (ST);шт.;Механизмы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;Подъёмник HK-S короткий (SQ);шт.;Механизмы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Подъёмник HK-XS (рычаги) (SE);шт.;Механизмы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;Сушка для посуды;шт.;Аксессуары;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;Ручки (обычные);шт.;Ручки;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Подъёмник газлифт;шт.;Механизмы;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;Рамка под стекло;п.м.;Декор;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;Стекло;шт.;Декор;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Подсветка LED;п.м.;Освещение;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Евростыковка;шт.;Аксессуары;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;;
ID столешницы;Название;Единица;;Цена за п.м.;;;;;;;;;;;;;
ldsp_28;ЛДСП 28мм;п.м.;;3500;;;;;;;;;;;;;
ldsp_40;ЛДСП 40мм;п.м.;;4500;;;;;;;;;;;;;
